BSL,72,50,38,14,14
AVANTIFEED,28,14,6,3,2
NATIONALUM,72,50,32,19,12
AXISBANK,31,14,7,4,2
PRECAM,72,48,37,27,19
VENUSREM,71,60,50,14,11
BAFNAPH,45,35,29,7,7
BAGFILMS,30,25,10,1,1
BAJAJ-AUTO,19,4,2,2,1
BAJAJCON,30,19,11,5,2
BAJAJELEC,46,31,19,10,8
BAJAJFINSV,38,20,12,6,5
BAJAJHCARE,6,3,1,1,1
SHIVAMILLS,71,55,43,10,8
BAJAJHLDNG,26,6,3,1,0
BAJFINANCE,38,17,11,3,3
BALAJITELE,37,22,13,8,6
TEXMOPIPES,71,55,43,22,19
BALAXI,41,29,19,2,1
BALKRISHNA,42,36,32,0,0
BALKRISIND,34,13,5,4,1
BALMLAWRIE,29,11,7,4,2
BALPHARMA,35,27,21,17,15
NAGREEKEXP,71,54,42,10,9
BANARBEADS,46,28,17,16,11
IZMO,71,52,48,14,11
BANCOINDIA,40,23,19,12,5
BANDHANBNK,39,15,8,4,3
BANG,44,31,25,15,11
GOKEX,70,60,44,16,12
RELCAPITAL,70,59,53,7,4
BANKINDIA,48,26,16,11,8
KHANDSE,70,48,29,11,10
BASF,42,26,15,9,8
BATAINDIA,25,11,4,2,1
BAYERCROP,17,4,1,0,0
BBL,41,26,19,12,9
BBOX,3,2,1,0,0
VISHNU,70,58,51,5,3
ELECON,70,56,44,37,24
BCP,44,31,22,12,11
BDL,38,19,9,4,1
MORARJEE,70,56,42,15,14
BECTORFOOD,31,14,9,6,3
SUZLON,70,52,40,6,6
BEL,46,27,11,4,2
BEML,40,25,14,11,8
BEPL,48,28,21,14,11
BERGEPAINT,17,5,1,1,0
ACRYSIL,69,62,51,19,15
BFINVEST,40,21,13,9,6
EKC,69,62,56,11,9
APLAPOLLO,69,36,24,6,2
BHAGCHEM,15,10,4,2,2
BHAGERIA,48,32,20,11,7
BHAGYANGR,48,37,31,15,10
BHAGYAPROP,43,28,20,14,7
VISASTEEL,69,59,49,0,0
BHARATFORG,43,23,12,4,2
PGEL,69,57,49,15,12
BHARATRAS,32,22,15,13,10
BHARATWIRE,42,33,26,7,4
BHARTIARTL,34,17,7,1,1
GSS,69,48,34,23,14
ANIKINDS,69,56,41,11,10
BIL,37,27,19,15,13
DELTAMAGNT,69,52,41,4,3
BIOCON,26,11,4,2,0
BIOFILCHEM,35,28,25,6,5
BIRLACABLE,44,30,23,13,11
BIRLACORPN,46,25,14,11,5
BIRLAMONEY,45,28,19,17,13
BIRLATYRE,30,27,25,14,10
BKMINDST,18,18,18,10,0
BHARATGEAR,68,43,31,25,18
BLISSGVS,25,16,12,8,5
CLEDUCATE,68,49,40,10,7
BLS,49,36,30,25,20
BLUECHIP,4,4,4,4,4
BLUECOAST,21,19,14,0,0
BLUEDART,37,20,12,6,4
BLUESTARCO,39,17,8,4,0
FLUOROCHEM,68,38,25,17,13
INDSWFTLAB,68,55,44,14,12
BOROLTD,48,36,22,15,13
KABRAEXTRU,68,55,38,32,21
BOSCHLTD,32,15,8,3,2
BPCL,26,5,2,1,0
MANAKSTEEL,68,54,47,8,7
BRFL,29,19,15,7,6
MARATHON,68,53,47,11,10
BRITANNIA,12,2,1,0,0
BRNL,33,19,10,5,3
LYPSAGEMS,68,52,36,15,12
TIMESGTY,68,44,34,19,17
BSHSL,42,35,28,4,4
UGARSUGAR,68,45,38,14,12
BSOFT,45,30,17,11,5
BURNPUR,30,29,18,0,0
BUTTERFLY,26,24,17,10,9
BALAMINES,67,47,34,22,18
CADILAHC,28,9,4,3,1
CALSOFT,45,36,31,11,9
SANGAMIND,67,59,46,5,4
CAMS,40,28,17,11,5
PITTIENG,67,52,44,15,13
CANFINHOME,45,25,15,8,2
CANTABIL,26,14,11,7,5
GOODLUCK,67,50,42,20,19
CAPLIPOINT,42,24,20,13,7
CAPTRUST,48,38,29,24,20
KMSUGAR,67,50,38,17,13
CAREERP,37,26,14,10,8
CARERATING,38,22,12,8,4
CARTRADE,10,7,6,4,2
CASTROLIND,20,9,4,2,1
CCHHL,35,23,16,7,7
CCL,48,27,21,9,6
CDSL,40,29,16,11,6
CEATLTD,27,16,9,6,3
SPAL,67,44,29,23,14
ZEEMEDIA,66,57,49,3,2
CONSOFINVT,66,45,37,23,14
DBREALTY,66,52,45,7,6
INDIAGLYCO,66,44,37,26,18
MAGADSUGAR,66,51,45,20,11
VASCONEQ,66,51,43,19,14
CENTURYPLY,48,33,23,10,3
SUPREMEENG,66,48,39,13,11
CERA,40,22,10,6,3
TIRUMALCHM,66,49,34,21,14
CESC,35,20,12,6,1
CGCL,25,18,11,7,6
CGPOWER,34,25,22,0,0
CHALET,45,32,20,12,8
TRIVENI,66,46,33,24,13
CHEMBOND,49,34,17,10,8
CHEMFAB,43,30,19,8,6
CHEMPLASTS,21,14,8,3,3
BANSWRAS,66,50,38,15,10
CHOLAFIN,48,35,20,8,6
CHOLAHLDNG,28,19,10,2,0
CIGNITITEC,42,30,19,15,10
CINELINE,48,33,23,17,11
CINEVISTA,35,32,26,12,9
CIPLA,24,9,3,1,1
CLEAN,37,21,13,11,8
POONAWALLA,66,50,41,8,7
CLNINDIA,27,18,13,10,6
CLSEL,26,15,12,10,5
CMICABLES,44,34,29,17,12
CMSINFO,1,1,1,1,1
COALINDIA,32,23,10,5,3
COASTCORP,10,7,3,3,2
COCHINSHIP,23,8,4,2,1
COFFEEDAY,44,38,32,19,16
SETCO,65,59,52,19,13
COLPAL,8,1,1,0,0
BIGBLOC,65,55,38,15,12
KANANIIND,65,55,41,10,9
CONCOR,34,17,14,11,8
CONFIPET,48,38,30,27,19
HGINFRA,65,38,23,14,9
CONTROLPR,47,28,19,14,11
GRAVITA,65,52,37,22,17
KHAICHEM,65,45,36,21,16
COROMANDEL,25,11,3,1,0
MBLINFRA,65,49,41,18,15
MSTCLTD,65,46,33,24,20
CRAFTSMAN,38,19,11,8,4
CREATIVE,41,38,34,14,13
CREATIVEYE,42,41,15,0,0
CREDITACC,32,20,13,8,7
CREST,37,26,15,6,5
CRISIL,36,21,12,8,5
CROMPTON,37,17,9,1,1
CSBBANK,36,20,12,6,3
SAIL,65,45,28,18,11
CUB,26,13,4,4,1
TREJHARA,65,52,43,26,24
CUMMINSIND,47,23,10,5,1
CUPID,32,20,9,5,2
CYBERMEDIA,38,24,15,3,2
